WBAN,YYYYMMDD,Tmax,TmaxFlag,Tmin,TminFlag,Tavg,TavgFlag,Depart,DepartFlag,DewPoint,DewPointFlag,WetBulb,WetBulbFlag,Heat,HeatFlag,Cool,CoolFlag,Sunrise,SunriseFlag,Sunset,SunsetFlag,CodeSum,CodeSumFlag,Depth,DepthFlag,Water1,Water1Flag,SnowFall,SnowFallFlag,PrecipTotal,PrecipTotalFlag,StnPressure,StnPressureFlag,SeaLevel,SeaLevelFlag,ResultSpeed,ResultSpeedFlag,ResultDir,ResultDirFlag,AvgSpeed,AvgSpeedFlag,Max5Speed,Max5SpeedFlag,Max5Dir,Max5DirFlag,Max2Speed,Max2SpeedFlag,Max2Dir,Max2DirFlag
94846,20100105,23," ",13," ",18," ",-4," ",10," ",15," ",47," ",0," ",0720," ",1635," ",SN," ",M," ",M," ",M," ","  T"," ",29.46," ",30.23," ",8.2," ",31," ",8.6," ",21," ",340," ",16," ",340," "
94846,20100106,20," ",10," ",15," ",-7," ",11," ",15," ",50," ",0," ",0720," ",1636," ","SN HZ"," ",M," ",M," ",M," ",0.01," ",29.43," ",30.21," ",4.4," ",28," ",5.4," ",14," ",310," ",12," ",320," "
94846,20100107,22," ",16," ",19," ",-3," ",15," ",17," ",46," ",0," ",0719," ",1637," ","SN FZFG BR"," ",M," ",M," ",M," ",0.27," ",29.21," ",29.98," ",4," ",29," ",5.6," ",15," ",300," ",13," ",330," "
94846,20100108,27," ",11," ",19," ",-3," ",13," ",18," ",46," ",0," ",0719," ",1638," ","SN FZFG BR"," ",8," ",M," ",3.5," ",0.27," ",29.54," ",30.27," ",13.6," ",34," ",13.7," ",29," ",340," ",23," ",340," "
94846,20100109,22," ",6," ",14," ",-8," ",6," ",12," ",51," ",0," ",0719," ",1639," "," "," ",M," ",M," ",M," ",0.00," ",29.72," ",30.48," ",8.3," ",31," ",8.5," ",18," ",10," ",15," ",320," "
94846,20100110,18," ",0," ",9," ",-13," ",2," ",7," ",56," ",0," ",0719," ",1640," "," "," ",M," ",M," ",M," ","  T",s,29.55," ",30.37," ",10.6," ",23," ",11.1," ",31," ",220," ",24," ",210," "
94846,20100111,26," ",15," ",21," ",-1," ",13," ",19," ",44," ",0," ",0719," ",1641," ",SN," ",M," ",M," ",M," ","  T"," ",29.47," ",30.23," ",10.4," ",33," ",12.2," ",30," ",320," ",21," ",340," "
94846,20100112,31," ",20," ",26," "," 4"," ",18," ",23," ",39," ",0," ",0718," ",1642," ",SN," ",M," ",M," ",M," ","  T"," ",29.64," ",30.4," ",4.7," ",28," ",8.8," ",23," ",330," ",18," ",330," "
94846,20100113,35," ",19," ",27," "," 6"," ",20," ",25," ",38," ",0," ",0718," ",1643," "," "," ",M," ",M," ",M," ",0.00," ",29.35," ",30.14," ",14," ",21," ",14," ",26," ",220," ",20," ",220," "
94846,20100114,40," ",31," ",36," ",15," ",29," ",32," ",29," ",0," ",0718," ",1644," ",BR," ",M," ",M," ",M," ",0.00," ",29.31," ",30.05," ",10.1," ",23," ",10.7," ",22," ",230," ",17," ",240," "
94846,20100115,34," ",25," ",30," "," 9"," ",25," ",28," ",35," ",0," ",0717," ",1645," ","SN BR HZ"," ",2," ",M," ","  T"," ","  T"," ",29.52," ",30.26," ",3.3," ",29," ",6," ",17," ",200," ",14," ",210," "
94846,20100116,27," ",23," ",25," "," 4"," ",23," ",24," ",40," ",0," ",0717," ",1646," ",BR," ",M," ",M," ",M," ",0.00," ",29.39," ",30.17," ",6.8," ",23," ",7.2," ",17," ",210," ",15," ",200," "
94846,20100117,29," ",19," ",24," "," 3"," ",23," ",24," ",41," ",0," ",0716," ",1648," ","FG+ FZFG BR"," ",M," ",M," ",M," ","  T"," ",29.14," ",29.91," ",5," ",27," ",5.4," ",17," ",300," ",13," ",290," "
94846,20100118,31," ",27," ",29," "," 8"," ",26," ",28," ",36," ",0," ",0716," ",1649," ",BR," ",M," ",M," ",M," ","  T"," ",29.23," ",29.97," ",6.1," ",28," ",6.6," ",15," ",280," ",12," ",310," "
94846,20100119,38," ",27," ",33," ",11," ",23," ",28," ",32," ",0," ",0715," ",1650," ",BR," ",M," ",M," ",M," ",0.00," ",29.26," ",30," ",2.6," ",35," ",4," ",16," ",50," ",9," ",320," "
94846,20100120,33," ",24," ",29," "," 7"," ",24," ",28," ",36," ",0," ",0714," ",1651," ","RA FZRA PL"," ",M," ",M," ",M," ",0.01," ",29.22," ",29.98," ",14.3," ",9," ",15," ",32," ",70," ",25," ",100," "
94846,20100121,35," ",30," ",33," ",11," ",25," ",30," ",32," ",0," ",0714," ",1652," ",RA," ",M," ",M," ",M," ",0.08," ",29.11," ",29.87," ",14.4," ",7," ",15.1," ",36," ",60," ",25," ",90," "
94846,20100122,35," ",33," ",34," ",12," ",30," ",32," ",31," ",0," ",0713," ",1654," ","DZ BR"," ",M," ",M," ",M," ","  T"," ",29.22," ",29.96," ",8.6," ",6," ",9.9," ",25," ",60," ",16," ",40," "
94846,20100123,44," ",34," ",39," ",17," ",36," ",38," ",26," ",0," ",0712," ",1655," ","DZ BR"," ",M," ",M," ",M," ","  T"," ",28.99," ",29.78," ",11.6," ",13," ",12.1," ",23," ",160," ",17," ",140," "
94846,20100124,46," ",30," ",38," ",16," ",37," ",38," ",27," ",0," ",0712," ",1656," ","RA DZ BR"," ",M," ",M," ",M," ",0.49," ",28.57," ",29.32," ",9.8," ",21," ",14," ",31," ",190," ",25," ",190," "
94846,20100125,32," ",19," ",26," "," 4"," ",23," ",27," ",39," ",0," ",0711," ",1657," ","SN BR"," ",M," ",M," ",M," ","  T"," ",28.64," ",29.36," ",12.9," ",25," ",13.3," ",38," ",260," ",26," ",260," "
94846,20100126,24," ",12," ",18," ",-4," ",12," ",17," ",47," ",0," ",0710," ",1659," ",SN," ",M," ",M," ",M," ","  T"," ",29.18," ",29.86," ",14.2," ",27," ",14.4," ",30," ",250," ",22," ",270," "
94846,20100127,23," ",9," ",16," ",-6," ",9," ",15," ",49," ",0," ",0709," ",1660," ","SN BR"," ",M," ",M," ",M," ","  T"," ",29.39," ",30.12," ",11.9," ",25," ",12.7," ",33," ",280," ",22," ",280," "
94846,20100128,17," ",6," ",12," ",-10," ",-1," ",7," ",53," ",0," ",0708," ",1701," "," "," ",M," ",M," ",M," ",0.00," ",29.68," ",30.42," ",11.1," ",30," ",11.6," ",32," ",300," ",25," ",300," "
94846,20100129,21," ",5," ",13," ",-10," ",1," ",11," ",52," ",0," ",0707," ",1702," ",SN," ",1," ",M," ","  T"," ","  T"," ",29.69," ",30.47," ",3.3," ",1," ",4.6," ",18," ",40," ",10," ",50," "
94846,20100130,25," ",18," ",22," ",-1," ",12," ",18," ",43," ",0," ",0706," ",1704," ",SN," ",M," ",M," ",M," ","  T"," ",29.48," ",30.26," ",3.9," ",7," ",5.8," ",26," ",60," ",13," ",110," "
94846,20100131,29," ",15," ",22," ",-1," ",10," ",18," ",43," ",0," ",0705," ",1705," "," "," ",M," ",M," ",M," ",0.00," ",29.49," ",30.25," ",6.8," ",28," ",7.4," ",22," ",280," ",17," ",250," "
23174,20100201,64," ",49," ",57," ",-1," ",48," ",52," ",8," ",0," ",0650," ",1723," ","BR HZ"," ",M," ",M," ",M," ",0.00," ",29.57," ",29.93," ",2.1," ",27," ",4.7," ",15," ",240," ",12," ",250," "
23174,20100202,61," ",51," ",56," ",-2," ",50," ",53," ",9," ",0," ",0650," ",1724," ","BR HZ"," ",M," ",M," ",M," ",0.00," ",29.47," ",29.83," ",4," ",26," ",6," ",18," ",280," ",15," ",270," "
23174,20100203,65," ",49," ",57," ",-1," ",49," ",52," ",8," ",0," ",0649," ",1725," "," "," ",M," ",M," ",M," ",0.00," ",29.44," ",29.78," ",2.5," ",24," ",6.3," ",20," ",240," ",16," ",240," "
23174,20100204,63," ",53," ",58," "," 0"," ",49," ",53," ",7," ",0," ",0648," ",1726," ",HZ," ",M," ",M," ",M," ",0.00," ",29.60," ",29.95," ",2.6," ",16," ",7.4," ",20," ",200," ",14," ",260," "
23174,20100205,56," ",53," ",55," ",-3," ",51," ",52," ",10," ",0," ",0647," ",1727," ","RA BR"," ",M," ",M," ",M," ",1.39," ",29.67," ",30.02," ",10," ",10," ",10.4," ",25," ",100," ",18," ",100," "
23174,20100206,59," ",52," ",56," ",-2," ",51," ",53," ",9," ",0," ",0647," ",1728," ","RA BR"," ",M," ",M," ",M," ",0.92," ",29.55," ",29.9," ",5.7," ",26," ",10.7," ",24," ",270," ",21," ",270," "
23174,20100207,60," ",44," ",52," ",-6," ",40," ",47," ",13," ",0," ",0646," ",1729," "," "," ",M," ",M," ",M," ",0.00," ",29.55," ",29.91," ",4.8," ",28," ",6.4," ",25," ",270," ",23," ",270," "
23174,20100208,60," ",48," ",54," ",-4," ",44," ",50," ",11," ",0," ",0645," ",1730," "," "," ",M," ",M," ",M," ",0.00," ",29.62," ",29.97," ",1.8," ",28," ",6.5," ",16," ",290," ",13," ",270," "
23174,20100209,57," ",44," ",51," ",-7," ",44," ",48," ",14," ",0," ",0644," ",1731," ",RA," ",M," ",M," ",M," ",0.20," ",29.59," ",29.95," ",1.3," ",16," ",6.7," ",29," ",260," ",25," ",250," "
23174,20100210,62," ",41," ",52," ",-6," ",41," ",46," ",13," ",0," ",0643," ",1732," "," "," ",M," ",M," ",M," ",0.00," ",29.65," ",30," ",2," ",19," ",5.6," ",18," ",220," ",15," ",250," "
23174,20100211,62," ",47," ",55," ",-3," ",46," ",51," ",10," ",0," ",0642," ",1733," "," "," ",M," ",M," ",M," ",0.00," ",29.80," ",30.15," ",0.8," ",32," ",5.7," ",21," ",240," ",13," ",250," "
23174,20100212,62," ",49," ",56," ",-2," ",49," ",52," ",9," ",0," ",0641," ",1734," ","BCFG BR HZ"," ",M," ",M," ",M," ",0.00," ",29.78," ",30.13," ",1.4," ",25," ",4.3," ",17," ",260," ",14," ",260," "
23174,20100213,68," ",49," ",59," "," 1"," ",47," ",52," ",6," ",0," ",0640," ",1735," "," "," ",M," ",M," ",M," ",0.00," ",29.68," ",30.04," ",2.5," ",27," ",5," ",17," ",270," ",15," ",270," "
23174,20100214,77," ",51," ",64," "," 6"," ",43," ",53," ",1," ",0," ",0639," ",1736," "," "," ",M," ",M," ",M," ",0.00," ",29.66," ",30.01," ",1.9," ",28," ",4," ",15," ",270," ",13," ",260," "
23174,20100215,79," ",54," ",67," "," 9"," ",41," ",52," ",0," ",2," ",0638," ",1737," "," "," ",M," ",M," ",M," ",0.00," ",29.62," ",29.96," ",2.1," ",29," ",5.4," ",17," ",330," ",13," ",280," "
23174,20100216,80," ",53," ",67," "," 9"," ",42," ",53," ",0," ",2," ",0637," ",1737," "," "," ",M," ",M," ",M," ",0.00," ",29.61," ",29.96," ",1.4," ",28," ",5.1," ",20," ",280," ",15," ",270," "
23174,20100217,75," ",54," ",65," "," 7"," ",46," ",54," ",0," ",0," ",0636," ",1738," ",BCFG," ",M," ",M," ",M," ",0.00," ",29.60," ",29.95," ",2.8," ",26," ",5.2," ",16," ",270," ",15," ",260," "
23174,20100218,62," ",55," ",59," "," 1"," ",51," ",54," ",6," ",0," ",0635," ",1739," ","FG+ BCFG BR HZ"," ",M," ",M," ",M," ",0.00," ",29.59," ",29.93," ",4.2," ",26," ",4.8," ",16," ",250," ",14," ",260," "
23174,20100219,60," ",53," ",57," ",-1," ",46," ",51," ",8," ",0," ",0634," ",1740," ","RA HZ"," ",M," ",M," ",M," ",0.10," ",29.57," ",29.92," ",3.7," ",22," ",6.7," ",20," ",240," ",14," ",250," "
23174,20100220,60," ",51," ",56," ",-2," ",47," ",52," ",9," ",0," ",0633," ",1741," "," "," ",M," ",M," ",M," ",0.06," ",29.53," ",29.88," ",7," ",27," ",9.4," ",23," ",260," ",17," ",250," "
23174,20100221,62," ",53," ",58," "," 0"," ",49," ",53," ",7," ",0," ",0632," ",1742," ",BR," ",M," ",M," ",M," ",0.02," ",29.64," ",29.99," ",14.3," ",27," ",14.8," ",32," ",280," ",29," ",270," "
23174,20100222,70," ",53," ",62," "," 4"," ",34," ",49," ",3," ",0," ",0631," ",1743," "," "," ",M," ",M," ",M," ",0.00," ",29.68," ",30.04," ",5.9," ",30," ",10.6," ",33," ",280," ",28," ",280," "
23174,20100223,65," ",46," ",56," ",-2," ",30," ",45," ",9," ",0," ",0630," ",1744," "," "," ",M," ",M," ",M," ",0.00," ",29.86," ",30.21," ",5.2," ",27," ",7.2," ",18," ",270," ",16," ",270," "
23174,20100224,62," ",52," ",57," ",-1," ",44," ",50," ",8," ",0," ",0628," ",1745," ","RA BR HZ"," ",M," ",M," ",M," ","  T"," ",29.80," ",30.16," ",1.4," ",9," ",5.5," ",16," ",120," ",13," ",100," "
23174,20100225,65," ",53," ",59," "," 1"," ",51," ",55," ",6," ",0," ",0627," ",1746," ","BCFG BR HZ"," ",M," ",M," ",M," ",0.00," ",29.77," ",30.12," ",3.9," ",24," ",5.9," ",18," ",250," ",15," ",250," "
23174,20100226,71," ",54," ",63," "," 5"," ",50," ",55," ",2," ",0," ",0626," ",1746," "," "," ",M," ",M," ",M," ",0.00," ",29.68," ",30.04," ",1.1," ",24," ",5.3," ",18," ",150," ",16," ",270," "
23174,20100227,61," ",51," ",56," ",-2," ",49," ",53," ",9," ",0," ",0625," ",1747," ","RA BR"," ",M," ",M," ",M," ",0.62," ",29.38," ",29.73," ",6.5," ",24," ",11.1," ",29," ",240," ",23," ",260," "
23174,20100228,63," ",46," ",55," ",-3," ",46," ",51," ",10," ",0," ",0624," ",1748," "," "," ",M," ",M," ",M," ",0.00," ",29.57," ",29.92," ",1.5," ",26," ",5.4," ",20," ",240," ",14," ",250," "
94846,20100201,30," ",14," ",22," ",-1," ",14," ",22," ",43," ",0," ",0704," ",1706," ",SN," ",M," ",M," ",M," ","  T"," ",29.48," ",30.26," ",2.4," ",12," ",4.1," ",17," ",60," ",9," ",130," "
94846,20100202,32," ",25," ",29," "," 6"," ",25," ",27," ",36," ",0," ",0703," ",1708," ","SN BR HZ"," ",M," ",M," ",M," ",0.10," ",29.29," ",30.06," ",3.3," ",21," ",7.1," ",21," ",280," ",14," ",270," "
94846,20100203,32," ",23," ",28," "," 4"," ",20," ",25," ",37," ",0," ",0702," ",1709," ","BR HZ"," ",M," ",M," ",M," ",0.00," ",29.56," ",30.3," ",3," ",29," ",5.6," ",22," ",50," ",14," ",270," "
94846,20100204,33," ",21," ",27," "," 3"," ",23," ",27," ",38," ",0," ",0701," ",1710," ","BR HZ"," ",M," ",M," ",M," ",0.00," ",29.56," ",30.33," ",4.7," ",12," ",6.3," ",23," ",110," ",14," ",100," "
94846,20100205,35," ",30," ",33," "," 9"," ",27," ",30," ",32," ",0," ",0700," ",1711," ","SN BR HZ"," ",0," ",M," ",0.2," ",0.02," ",29.26," ",30.04," ",14.7," ",5," ",15," ",37," ",50," ",26," ",40," "
94846,20100206,31," ",25," ",28," "," 4"," ",19," ",24," ",37," ",0," ",0659," ",1713," ",SN," ",M," ",M," ",M," ","  T"," ",29.39," ",30.13," ",14.9," ",3," ",15.1," ",36," ",30," ",28," ",30," "
94846,20100207,31," ",23," ",27," "," 2"," ",17," ",23," ",38," ",0," ",0658," ",1714," ","SN BR"," ",M," ",M," ",M," ","  T"," ",29.43," ",30.18," ",4.3," ",11," ",5.9," ",24," ",50," ",13," ",110," "
94846,20100208,30," ",20," ",25," "," 0"," ",16," ",23," ",40," ",0," ",0657," ",1715," ",SN," ",M," ",M," ",M," ","  T"," ",29.40," ",30.17," ",7.1," ",12," ",8.7," ",29," ",90," ",18," ",100," "
94846,20100209,28," ",23," ",26," "," 1"," ",23," ",25," ",39," ",0," ",0656," ",1717," ","SN FG+ FZFG BR"," ",1," ",M," ",12.6," ",0.65," ",29.08," ",29.86," ",7," ",5," ",10.7," ",26," ",10," ",21," ",10," "
94846,20100210,26," ",17," ",22," ",-4," ",16," ",21," ",43," ",0," ",0654," ",1718," ","SN BR BLSN"," ",9," ",M," ",0.3," ",0.02," ",29.29," ",30.03," ",13.9," ",32," ",14.5," ",33," ",330," ",25," ",330," "
94846,20100211,30," ",10," ",20," ",-6," ",11," ",17," ",45," ",0," ",0653," ",1719," "," "," ",M," ",M," ",M," ",0.00," ",29.35," ",30.11," ",5.1," ",30," ",5.8," ",16," ",10," ",12," ",350," "
94846,20100212,32," ",10," ",21," ",-5," ",11," ",18," ",44," ",0," ",0652," ",1720," "," "," ",6," ",M," ",0.0," ",0.00," ",29.26," ",30.04," ",4," ",30," ",4.7," ",18," ",40," ",9," ",360," "
94846,20100213,30," ",11," ",21," ",-5," ",10," ",17," ",44," ",0," ",0650," ",1722," "," "," ",5," ",M," ",0.0," ",0.00," ",29.19," ",29.96," ",6.8," ",29," ",7.1," ",18," ",310," ",15," ",310," "
94846,20100214,29," ",9," ",19," ",-8," ",10," ",16," ",46," ",0," ",0649," ",1723," ",HZ," ",M," ",M," ",M," ",0.00," ",29.11," ",29.88," ",5.4," ",27," ",5.6," ",15," ",270," ",12," ",290," "
94846,20100215,28," ",6," ",17," ",-10," ",16," ",20," ",48," ",0," ",0648," ",1724," ","SN BR HZ"," ",M," ",M," ",M," ","  T"," ",29.07," ",29.82," ",8.3," ",31," ",8.5," ",18," ",300," ",16," ",310," "
94846,20100216,32," ",25," ",29," "," 2"," ",18," ",25," ",36," ",0," ",0646," ",1725," ","SN BR"," ",M," ",M," ",M," ","  T"," ",29.13," ",29.86," ",11.6," ",32," ",11.9," ",26," ",320," ",21," ",320," "
94846,20100217,32," ",26," ",29," "," 1"," ",22," ",27," ",36," ",0," ",0645," ",1727," "," "," ",M," ",M," ",M," ",0.00," ",29.21," ",29.95," ",9.6," ",30," ",10.2," ",20," ",310," ",16," ",310," "
94846,20100218,39," ",25," ",32," "," 4"," ",21," ",28," ",33," ",0," ",0644," ",1728," "," "," ",M," ",M," ",M," ",0.00," ",29.31," ",30.05," ",6.9," ",29," ",7.1," ",20," ",300," ",15," ",280," "
94846,20100219,42," ",19," ",31," "," 3"," ",14," ",26," ",34," ",0," ",0642," ",1729," "," "," ",2," ",M," ",0.0," ",0.00," ",29.42," ",30.16," ",0.5," ",24," ",4.6," ",18," ",60," ",9," ",80," "
94846,20100220,39," ",30," ",35," "," 6"," ",29," ",32," ",30," ",0," ",0641," ",1730," ","SN BR HZ"," ",M," ",M," ",M," ",0.01," ",29.39," ",30.14," ",3," ",11," ",5.2," ",17," ",50," ",9," ",160," "
94846,20100221,36," ",33," ",35," "," 6"," ",31," ",33," ",30," ",0," ",0639," ",1732," ","RA SN FG BR"," ",M," ",M," ",M," ",0.36," ",29.24," ",30.02," ",7.3," ",3," ",7.7," ",17," ",30," ",13," ",40," "
